x,y,xnorm
2652,33.31327616,0.900509338
2745,19.23953594,0.932088285
2763,14.39695771,0.93820034
2735,2.943814946,0.928692699
2713,2.823930536,0.921222411
2808,37.10176016,0.953480475
2791,41.52939182,0.94770798
2798,33.62690061,0.95008489
2734,27.50797048,0.928353141
2750,12.37895772,0.933786078
2719,27.34843927,0.923259762
2723,34.33627434,0.924617997
2607,23.11017125,0.885229202
2743,9.727548643,0.931409168
2672,27.54048316,0.907300509
2682,33.98746489,0.910696095
2731,12.42783982,0.927334465
2687,9.266583836,0.912393888
2686,5.541513282,0.912054329
2777,41.51229003,0.94295416
2667,43.06708276,0.905602716
2299,2.679023596,0.780645161
2164,45.82555736,0.734804754
2301,13.63956906,0.781324278
2273,43.77840461,0.771816638
2323,8.551277173,0.788794567
2363,13.34672717,0.80237691
2414,32.34050381,0.819694397
2498,0.759027143,0.848217317
2063,45.18134098,0.700509338
1981,30.36755851,0.672665535
2277,48.48537446,0.773174873
2170,4.456198499,0.736842105
2232,18.35721257,0.757894737
2097,30.27532854,0.712054329
2075,16.04413321,0.704584041
2074,32.69312563,0.704244482
1848,17.83864637,0.627504244
1642,11.21172359,0.557555178
875,30.83230007,0.297113752
849,12.87629956,0.288285229
830,18.31705725,0.281833616
822,38.75733255,0.279117148
856,32.6127856,0.290662139
824,42.61612051,0.279796265
833,44.29973532,0.282852292
818,45.86396503,0.277758913
820,49.07804112,0.278438031
782,47.81020639,0.265534805
805,5.362940431,0.273344652
803,24.70490917,0.272665535
805,24.91908878,0.273344652
795,27.05798442,0.269949066
819,20.39918449,0.278098472
804,38.72402649,0.273005093
729,18.02806372,0.2475382
659,22.03040559,0.2237691
717,27.18642968,0.243463497
179,37.69104818,0.060780985
175,37.69664316,0.05942275
150,50.09108042,0.050933786
57,41.76508809,0.019354839
223,47.23524156,0.075721562
106,46.06972185,0.035993209
234,46.63846368,0.079456706
226,43.4996394,0.076740238
242,39.99878026,0.082173175
230,18.61880301,0.078098472
190,5.970262273,0.064516129
290,30.00792471,0.098471986
217,24.03281639,0.073684211
189,40.04027121,0.06417657
184,9.274546911,0.062478778
187,6.99006141,0.063497453
373,20.4273535,0.126655348
317,26.93496127,0.107640068
323,45.34657992,0.109677419
491,5.902983912,0.16672326
493,7.322024004,0.167402377
479,2.449969411,0.162648557
481,6.924126747,0.163327674
489,22.00259913,0.166044143
517,40.59701307,0.175551783
243,43.98729617,0.082512733
539,15.13319133,0.183022071
517,34.21645051,0.175551783
553,26.04498218,0.187775891
567,18.59019668,0.192529711
429,17.83742843,0.145670628
450,23.23444828,0.152801358
455,23.65751792,0.154499151
738,38.9722426,0.250594228
740,15.1090057,0.251273345
745,8.745789611,0.252971138
683,18.87791147,0.231918506
652,2.998057548,0.22139219
541,43.42872633,0.183701188
934,30.2573061,0.317147708
938,28.32484451,0.318505942
1973,45.53205195,0.669949066
2026,35.19386397,0.687945671
2026,32.6468854,0.687945671
2088,44.92824123,0.708998302
1166,40.41097164,0.395925297
1165,32.90611787,0.395585739
1164,34.82973534,0.39524618
1128,25.24443293,0.383022071
1101,29.60125097,0.37385399
1100,40.0895762,0.373514431
1084,38.77215066,0.368081494
924,9.764082109,0.313752122
907,39.17240821,0.307979626
695,5.610231604,0.235993209
833,33.18135933,0.282852292
839,19.23815049,0.284889643
854,1.810471781,0.289983022
853,0.437931097,0.289643463
220,24.43953915,0.074702886
134,32.60423626,0.045500849
2816,3.746804529,0.956196944
2806,7.386897123,0.952801358
2808,8.984015075,0.953480475
2799,31.70666268,0.950424448
2494,23.3384573,0.846859083
2405,30.96556159,0.81663837
2379,1.468979902,0.807809847
2365,35.24356436,0.803056027
2358,3.341802003,0.800679117
2360,22.78447744,0.801358234
2329,6.494792153,0.790831919
2301,47.21165947,0.781324278
2296,46.05822707,0.779626486
2306,28.53605168,0.783022071
2307,38.85915259,0.78336163
2302,17.91501871,0.781663837
2276,21.08194604,0.772835314
2312,6.390238544,0.785059423
2314,2.194684517,0.78573854
2274,19.75607764,0.772156197
2310,39.38532881,0.784380306
2235,35.39500365,0.758913413
2237,39.44766084,0.75959253
2246,26.05633657,0.762648557
2267,2.521971302,0.769779287
2253,30.55430387,0.765025467
2201,9.576131979,0.747368421
2207,7.56109301,0.749405772
2123,23.39618461,0.720882852
2135,21.49028498,0.724957555
2105,26.08131351,0.714770798
2106,29.91918805,0.715110357
2092,8.969137841,0.710356537
2093,10.49564601,0.710696095
2077,26.33350116,0.705263158
2025,22.33730999,0.687606112
2024,16.2681518,0.687266553
1008,40.05896621,0.342275042
1027,47.19454417,0.348726655
